Row,BL,bri,cortexTraj
R1008,0,0,0
R1009,0,0,0
R1010,0,0,0
R1011,0,0,0
R1012,0,0,0
R1013,0,1,0
R1014,0,0,1
R1015,0,0,0
R1016,0,0,0
R1017,0,0,0
R1018,0,0,0
R1019,0,0,0
R1020,1,1,1
R1021,0,0,0
R1022,0,0,0
R1023,0,0,0
R1024,0,0,0
R1025,0,0,0
R1026,0,0,0
R1027,0,1,1
R1028,0,0,0
R1029,0,0,0
R1030,0,1,0
R1031,0,0,0
R1032,0,0,0
R1033,0,0,0
R1034,0,0,0
R1035,0,0,0
R1036,0,1,0
R1037,0,1,0
R1038,0,1,0
R1039,0,0,0
R1040,0,0,0
R1041,0,0,0
R1042,0,0,1
R1043,0,0,0
R1044,0,0,0
R1045,0,0,0
R1046,0,0,0
R1047,0,0,0
R1048,0,0,0
R1049,0,0,0
R1050,0,0,0
R1051,1,1,1
R1052,1,0,1
R1053,0,0,0
R1054,0,0,0
R1055,0,0,0
R1056,0,0,0
R1057,0,0,0
R1058,0,0,0
R1059,0,1,0
R1060,0,0,0
R1061,0,1,0
R1062,0,0,0
R1063,0,0,0
R1064,0,0,0
R1065,0,0,1
R1066,0,0,0
R1067,1,0,1
R1068,0,0,0
R1069,0,0,0
R1070,0,0,0
R1071,0,0,0
R1072,0,0,0
R1073,0,0,0
R1074,0,0,0
R1075,0,0,0
R1076,0,0,0
R1077,0,0,1
R1078,0,0,0
R1079,0,0,0
R1080,0,1,0
R1081,0,0,0
R1082,0,0,0
R1083,0,0,0
R1084,0,0,0
R1085,0,0,0
R1086,0,0,0
R1087,0,0,0
R1088,0,0,0
R1089,0,0,0
R1090,0,0,0
R1091,0,0,0
R1092,0,0,0
R1093,1,0,0
R1094,0,0,0
R1095,0,1,0
R1096,0,0,0
R1097,0,0,0
R1098,0,0,1
R1099,0,0,1
R1100,0,0,0
R1101,0,0,0
R1102,0,0,0
R1103,0,0,1
R1104,0,0,0
R1105,0,0,1
R1106,0,0,1
R1107,1,0,0
R1108,0,0,1
R1109,0,0,0
R1110,0,0,1
R1111,0,0,0
R1112,0,0,0
R1113,0,0,0
R1114,0,0,1
R1115,0,0,0
R1116,0,0,0
R1117,0,0,0
R1118,0,0,0
R1119,0,0,0
R1120,1,1,0
R1121,0,0,1
R1122,0,0,0
R1123,0,0,0
R1124,0,0,0
R1125,0,0,0
R1126,0,0,0
R1127,0,0,0
R1128,0,0,0
R1129,0,0,0
R1130,0,0,0
R1131,0,0,0
R1132,0,0,0
R1133,0,0,0
R1134,0,0,0
R1135,0,0,0
R1136,0,0,1
R1137,0,0,0
R1138,0,0,0
R1139,0,0,0
R1140,0,0,0
R1141,0,0,0
R1142,0,0,0
R1143,0,0,0
R1144,0,0,1
R1145,0,0,0
R1146,0,0,0
R1147,0,0,0
R1148,0,0,0
R1149,0,0,0
R1150,0,0,0
R1151,1,1,0
R1152,0,0,0
R1153,0,0,0
R1154,0,1,0
R1155,0,0,0
R1156,0,0,0
R1157,0,0,0
R1158,0,0,0
R1159,0,0,0
R1160,0,0,0
R1161,0,0,0
R1162,0,0,0
R1163,0,0,0
R1164,0,0,0
R1165,0,1,0
R1166,0,0,0
R1167,0,0,0
R1168,0,0,0
R1169,0,0,0
R1170,0,0,0
R1171,1,1,0
R1172,0,0,0
R1173,0,0,0
R1174,0,0,0
R1175,0,0,0
R1176,0,0,0
R1177,0,0,0
R1178,0,0,0
R1179,0,0,0
R1180,0,1,0
R1181,0,0,0
R1182,0,0,0
R1183,0,0,0
R1184,0,0,0
R1185,0,0,0
R1186,0,0,0
R1187,0,0,0
R1188,0,0,0
R1189,0,0,0
R1190,0,0,0
R1191,0,0,1
R1192,0,0,0
R1193,0,0,0
R1194,0,0,0
R1195,0,0,0
R1196,0,0,0
R1197,0,0,0
R1198,0,0,0
R1199,0,0,0
R1200,0,0,0
R1201,0,0,0
R1202,0,0,0
R1203,0,0,0
R1204,1,0,0
R1205,0,0,0
R1206,0,0,0
R1207,0,0,0
R1208,0,0,0
R1209,0,0,0
R1210,0,0,0
R1211,0,0,0
R1212,0,0,0
R1213,0,1,0
R1214,0,0,0
R1215,0,0,1
R1216,0,0,0
R1217,0,0,0
R1218,0,0,0
R1219,0,0,0
R1220,0,0,0
R1221,0,0,1
R1222,0,0,0
R1223,0,0,0
R1224,0,0,0
R1225,0,0,0
R1226,0,0,0
R1227,0,0,0
R1228,0,0,0
R1229,0,0,0
R1230,0,0,0
R1231,0,0,1
R1232,0,0,0
R1233,0,0,0
R1234,0,0,0
R1235,0,0,0
R1236,0,0,0
R1237,0,1,0
R1238,0,0,0
R1239,0,0,0
R1240,0,0,0
R1241,0,0,0
R1242,0,0,0
R1243,0,0,0
R1244,0,1,0
R1245,0,1,0
R1246,0,0,0
R1247,0,0,0
R1248,0,0,0
R1249,0,0,0
R1250,0,0,0
R1251,0,0,0
R1252,1,1,0
R1253,0,0,0
R1254,0,0,0
R1255,0,0,0
R1256,0,0,0
R1257,0,0,1
R1258,0,0,0
R1259,0,0,1
R1260,0,0,0
R1261,0,0,0
R1262,0,0,0
R1263,0,0,0
R1264,0,0,0
R1265,0,0,1
R1266,0,0,0
R1267,1,0,0
R1268,0,0,0
R1269,0,0,0
R1270,0,1,0
R1271,0,0,0
R1272,0,0,0
R1273,0,0,0
R1274,0,0,0
R1275,0,0,0
R1276,0,0,0
R1277,0,0,0
R1278,0,1,0
R1279,1,1,1
R1280,0,0,0
R1281,0,0,0
R1282,0,0,0
R1283,0,0,0
R1284,0,0,0
R1285,0,0,0
R1286,0,0,0
R1287,0,0,0
R1288,0,0,0
R1289,0,0,0
R1290,0,0,0
R1291,0,0,0
R1292,0,0,0
R1293,0,0,0
R1294,0,0,0
R1295,0,0,0
R1296,0,0,0
R1297,0,0,0
R1298,0,0,0
R1299,0,0,0
R1300,0,0,1
R1301,0,0,0
R1302,0,0,0
R1303,0,0,0
R1304,0,1,0
R1305,0,0,0
R1306,0,0,0
R1307,0,0,0
R1308,0,0,0
R1309,0,0,0
R1310,0,0,0
R1311,0,0,0
R1312,0,0,0
R1313,0,0,1
R1314,0,0,0
R1315,1,1,0
R1316,0,0,0
R1317,0,0,0
R1318,0,0,0
R1319,0,0,0
R1320,0,0,0
R1321,1,1,1
R1322,0,0,0
R1323,0,0,0
R1324,0,0,0
R1325,0,0,0
R1326,0,1,0
R1327,0,0,0
R1328,0,0,0
R1329,1,1,0
R1330,0,0,0
R1331,0,0,0
R1332,0,0,0
R1333,0,0,0
R1334,0,0,0
R1335,0,0,0
R1336,0,0,0
R1337,0,0,0
R1338,0,0,0
R1339,0,0,0
R1340,0,0,1
R1341,0,0,0
R1342,0,0,0
R1343,0,0,0
R1344,0,0,0
R1345,0,0,0
R1346,0,0,0
R1347,0,0,0
R1348,0,0,0
R1349,1,1,1
R1350,0,0,0
R1351,0,0,0
R1352,0,0,0
R1353,0,0,0
R1354,1,0,0
R1355,0,0,0
R1356,0,0,0
R1357,0,0,0
R1358,0,0,0
R1359,0,0,0
R1360,0,0,0
R1361,0,0,0
R1362,0,0,0
R1363,0,0,0
R1364,0,0,0
R1365,0,0,0
R1366,0,0,0
R1367,0,0,0
R1368,0,0,0
R1369,0,0,1
R1370,0,0,0
R1371,0,1,0
R1372,0,0,0
R1373,0,0,0
R1374,0,0,0
R1375,1,0,0
R1376,0,0,0
R1377,0,0,0
R1378,0,0,0
R1379,0,0,1
R1380,0,0,0
R1381,0,0,0
R1382,1,1,0
R1383,0,0,0
R1384,0,0,0
R1385,0,0,0
R1386,0,0,0
R1387,0,0,0
R1388,0,0,0
R1389,0,0,0
R1390,0,0,0
R1391,0,0,0
R1392,0,0,0
R1393,0,0,0
R1394,0,0,0
R1395,0,0,0
R1396,0,0,0
R1397,0,0,0
R1398,0,0,0
R1399,0,0,0
R1400,0,0,0
R1401,0,0,0
R1402,0,0,0
R1403,0,0,0
R1404,0,0,0
R1405,0,0,0
R1406,0,0,0
R1407,0,0,0
R1408,0,1,0
R1409,0,1,1
R1410,0,0,0
R1411,0,0,0
R1412,0,0,0
R1413,0,0,0
R1414,0,0,0
R1415,0,0,0
R1416,0,0,0
R1417,0,0,0
R1418,0,0,0
R1419,0,0,0
R1420,0,0,0
R1421,0,0,0
R1422,0,0,0
R1423,0,0,0
